freq,Vin,Vout,dt
100, 206e-3, 206e-3, 0
200, 206e-3, 208e-3, 0
500, 206e-3, 208e-3, 0
800, 206e-3, 208e-3, 0
1e3, 206e-3, 206e-3, 0
2e3, 208e-3, 210e-3, 0
5e3, 208e-3, 212e-3, -1.6e-6
8e3, 208e-3, 210e-3, -2.0e-6
10e3, 208e-3, 210e-3, -2.0e-6
20e3, 206e-3, 210e-3, -1.6e-6
50e3, 188e-3, 196e-3, -1.7e-6
80e3, 166e-3, 174e-3, -1.7e-6
100e3, 158e-3, 154e-3, -1.6e-6
200e3, 156e-3, 82e-3, -1.6e-6
500e3, 198e-3, 18.4e-3, -900e-9
800e3, 204e-3, 7.6e-3, -590e-9
1e6, 206e-3, 5.4e-3, -520e-9
2e6, 208e-3, 2.2e-3, -250e-9
