FREQ,V_IN,V_OUT,R_1,R_2
500 , 1.96, 19.6, 1.01e3, 9.94e3
800, 1.96, 19.6, 1.01e3, 9.84e3
1e3, 1.98, 19.4, 1.01e3, 9.84e3
2e3, 2.04, 20.0, 1.01e3, 9.84e3
3e3, 2.02, 19.9, 1.01e3, 9.84e3 
5e3, 2.02, 19.9, 1.01e3, 9.84e3 
8e3, 2.02, 19.8, 1.01e3, 9.84e3 
10e3, 2.02, 19.8, 1.01e3, 9.84e3 
20e3, 2.02, 19.8, 1.01e3, 9.84e3 
30e3, 2.02, 19.6, 1.01e3, 9.84e3 
50e3, 2.00, 19.2, 1.01e3, 9.84e3 
80e3, 2.02, 18.6, 1.01e3, 9.84e3 
100e3, 2.02, 18.0, 1.01e3, 9.84e3 
200e3, 2.06, 14.8, 1.01e3, 9.84e3 
300e3, 2.08, 11.2, 1.01e3, 9.84e3 
500e3, 2.09, 7.52, 1.01e3, 9.84e3 
800e3, 2.10, 4.96, 1.01e3, 9.84e3 
1e6, 2.10, 3.84, 1.01e3, 9.84e3 
2e6, 2.08, 1.98, 1.01e3, 9.84e3 
3e6, 2.06, 1.25, 1.01e3, 9.84e3 
5e6, 1.96, 688e-3, 1.01e3, 9.84e3 
8e6, 1.82, 350e-3, 1.01e3, 9.84e3 
10e6, 1.80, 132e-3, 1.01e3, 9.84e3
