freq,Vin,Vout,dt
100., 2.02, 12.8e-3, 2.520e-3
200., 2.02, 25.6e-3, 1.230e-3
300., 2.04, 38.8e-3, 830.0e-6
500., 2.04, 64.4e-3, 484.0e-6 
800., 2.04, 102e-3, 300.0e-6
1e3, 2.04, 127e-3, 236.0e-6 
2e3, 2.04, 250e-3, 114.0e-6
3e3, 2.06, 372e-3, 72.00e-6
5e3, 2.04, 592e-3, 39.60e-6
8e3, 2.04, 880e-3, 20.80e-6
10e3, 2.02, 1.02, 15.4e-6 
15950, 2.04, 1.32, 7.200e-6
20e3, 2.02, 1.46 , 5.000e-6 
30e3, 2.02, 1.62 , 2.500e-6
50e3, 2.02, 1.74, 920.0e-9
80e3, 2.04, 1.78, 360e-9
100e3, 2.02, 1.80, 200.0e-9
200e3, 2.02, 1.82 , 32.00e-9
300e3, 2.04, 1.84, 20.00e-9
500e3, 2.04, 1.84, 20.00e-9
800e3, 2.02, 1.84, 16.00e-9
1e6, 2.02, 1.82 , 22.00e-9
